PointID1,PointID2,PointID3
511,5125,512
5125,5126,512
5126,513,512
5126,5127,513
5127,514,513
5127,5128,514
5128,515,514
5128,5129,515
5129,516,515
5129,5130,516
5130,517,516
5130,5131,517
5131,518,517
5131,5132,518
5132,5133,518
5133,519,518
5133,5110,519
5133,5134,5110
5134,5135,5110
5135,5111,5110
5135,5136,5111
5136,5112,5111
5112,5121,5111
5112,5113,5121
5113,5122,5121
5122,511843,5121
511843,511842,5121
511843,511835,511842
511835,511804,511842
511804,511841,511842
511841,511834,511842
511841,511803,511834
511803,511802,511834
511802,511833,511834
511802,511832,511833
511802,511801,511832
511801,511831,511832
511801,511800,511831
511800,511830,511831
511800,511799,511830
511799,511829,511830
511799,511798,511829
511798,511828,511829
511798,511797,511828
511797,511827,511828
511797,511796,511827
511796,511826,511827
511796,511795,511826
511795,511794,511826
511794,511825,511826
511794,511824,511825
511794,511793,511824
511793,511860,511824
511860,511861,511824
511861,511862,511824
511862,511,511824
511862,511863,511
511863,5125,511
511863,511864,5125
511864,5156,5125
5156,5157,5125
5157,5126,5125
5157,5127,5126
5157,5158,5127
5158,5159,5127
5159,5128,5127
5159,5160,5128
5160,5129,5128
5160,5161,5129
5161,5130,5129
5161,5162,5130
5162,5131,5130
5162,5163,5131
5163,5132,5131
5163,5164,5132
5164,5133,5132
5164,5165,5133
5165,5134,5133
5165,5166,5134
5166,5135,5134
5166,5167,5135
5167,5136,5135
5167,5168,5136
5168,5137,5136
5137,5113,5136
5113,5112,5136
5137,5138,5113
5138,5123,5113
5123,5122,5113
5138,5114,5123
5114,5116,5123
5114,5115,5116
5115,5117,5116
5115,5118,5117
5118,5124,5117
5118,5119,5124
5118,5142,5119
5142,5120,5119
5142,5143,5120
5143,5144,5120
5143,5175,5144
5175,5176,5144
5176,5145,5144
5176,5146,5145
5176,5177,5146
5177,5147,5146
5177,5178,5147
5178,5179,5147
5179,5148,5147
5179,5180,5148
5180,5149,5148
5180,5150,5149
5180,5181,5150
5181,5151,5150
5181,5182,5151
5182,5183,5151
5183,5152,5151
5183,5184,5152
5184,5153,5152
5184,5154,5153
5184,5185,5154
5185,5186,5154
5186,5155,5154
5186,511930,5155
511930,511929,5155
5186,511931,511930
5186,51117,511931
51117,511932,511931
51117,511933,511932
51117,51148,511933
51148,511934,511933
51148,51179,511934
51179,511935,511934
51179,51210,511935
51210,51241,511935
51241,511936,511935
51241,511937,511936
51241,51272,511937
51272,51303,511937
51303,511938,511937
51303,511939,511938
51303,51334,511939
51334,51365,511939
51365,511940,511939
51365,511941,511940
51365,51396,511941
51396,51427,511941
51427,511942,511941
51427,511943,511942
51396,51395,51427
51395,51426,51427
51395,51394,51426
51394,51425,51426
51394,51424,51425
51394,51393,51424
51393,51423,51424
51423,51454,51424
51423,51453,51454
51453,51481,51454
51481,51482,51454
51481,51513,51482
51513,51483,51482
51513,51514,51483
51514,51515,51483
51515,51484,51483
51515,51516,51484
51516,51485,51484
51516,511945,51485
511945,511944,51485
511944,511943,51485
51516,51547,511945
51547,511946,511945
51547,51578,511946
51578,511947,511946
51578,51609,511947
51609,511948,511947
51609,51671,511948
51671,511949,511948
51671,51702,511949
51702,511950,511949
51702,51733,511950
51733,511951,511950
51733,51764,511951
51764,511952,511951
51764,51795,511952
51795,511953,511952
51795,511954,511953
51795,51826,511954
51826,511955,511954
51826,51857,511955
51857,511956,511955
51857,51888,511956
51888,511957,511956
51857,51887,51888
51857,51856,51887
51856,51886,51887
51856,51855,51886
51855,51885,51886
51855,51854,51885
51854,51884,51885
51854,51853,51884
51853,51883,51884
51853,51852,51883
51852,51851,51883
51851,51882,51883
51851,51881,51882
51851,51850,51881
51850,51849,51881
51849,51880,51881
51849,51848,51880
51848,51879,51880
51879,51909,51880
51879,51908,51909
51879,51878,51908
51878,51877,51908
51877,51907,51908
51877,51906,51907
51877,51876,51906
51876,51875,51906
51875,51905,51906
51875,51874,51905
51874,51904,51905
51874,51903,51904
51874,51873,51903
51873,51902,51903
51873,51872,51902
51872,51871,51902
51871,51901,51902
51871,51900,51901
51871,51870,51900
51870,51869,51900
51869,51899,51900
51869,51868,51899
51868,51898,51899
51868,51867,51898
51867,51897,51898
51897,51958,51898
51958,51953,51898
51958,51952,51953
51952,51977,51953
51977,51978,51953
51978,51959,51953
51959,51954,51953
51959,51979,51954
51979,51980,51954
51980,51955,51954
