PointID1,PointID2,PointID3
21,210,2290
210,2291,2290
21,22,210
22,211,210
22,23,211
23,212,211
212,295,211
212,296,295
296,2189,295
2189,2188,295
2189,2237,2188
2237,2187,2188
2187,2292,2188
2187,2293,2292
2187,2294,2293
2187,2237,2294
2237,2245,2294
2245,2295,2294
2245,2254,2295
2254,2296,2295
2254,2263,2296
2263,2297,2296
2263,2272,2297
2272,2298,2297
2272,2281,2298
2281,2299,2298
2281,219,2299
219,2300,2299
219,2301,2300
219,228,2301
228,2302,2301
228,236,2302
228,229,236
229,237,236
237,243,236
237,244,243
244,251,243
244,252,251
252,259,251
259,258,251
259,265,258
259,266,265
266,273,265
273,272,265
273,280,272
280,279,272
280,288,279
288,287,279
288,2103,287
288,2104,2103
2104,2111,2103
2111,2110,2103
2111,2119,2110
2119,2118,2110
2118,2311,2110
2311,2310,2110
2118,2312,2311
2118,2126,2312
2126,2313,2312
2126,2133,2313
2133,2314,2313
2133,2142,2314
2142,2315,2314
2142,2151,2315
2151,2316,2315
2151,2160,2316
2160,2317,2316
2160,2169,2317
2169,2318,2317
2169,2178,2318
2178,2319,2318
2178,2196,2319
2196,2320,2319
2196,2205,2320
2205,2321,2320
2205,2322,2321
2205,2214,2322
2205,2206,2214
2206,2215,2214
2215,2222,2214
2215,2223,2222
2223,2230,2222
2223,2224,2230
2224,2231,2230
2224,2232,2231
2224,2225,2232
2225,2233,2232
2225,2226,2233
2226,2234,2233
2226,2227,2234
2227,2235,2234
2227,2228,2235
2228,2236,2235
2228,2229,2236
2228,2221,2229
2228,2220,2221
2220,2212,2221
2212,2213,2221
2212,2204,2213
2212,2203,2204
2203,2185,2204
2185,2186,2204
2185,2177,2186
2185,2176,2177
2176,2168,2177
2176,2167,2168
2167,2159,2168
2167,2158,2159
2158,2149,2159
2149,2150,2159
2149,2140,2150
2140,2141,2150
2149,2139,2140
2139,2132,2140
2139,2131,2132
2131,2123,2132
2123,2124,2132
2123,2115,2124
2115,2116,2124
2116,2125,2124
2116,2117,2125
2116,2109,2117
2116,2108,2109
2108,293,2109
293,294,2109
293,285,294
285,286,294
285,278,286
285,277,278
277,270,278
270,271,278
270,264,271
270,263,264
263,257,264
263,256,257
256,249,257
249,250,257
249,242,250
249,241,242
241,234,242
234,235,242
234,226,235
226,227,235
226,2289,227
226,2288,2289
2288,2279,2289
2279,2280,2289
2279,2270,2280
2270,2271,2280
2270,2261,2271
2261,2262,2271
2261,2252,2262
2252,2253,2262
2252,2244,2253
2252,2243,2244
2243,2194,2244
2194,2195,2244
2194,2101,2195
2101,2102,2195
2101,218,2102
2101,217,218
217,28,218
28,29,218
217,27,28
217,216,27
216,26,27
216,215,26
215,25,26
215,214,25
214,24,25
214,213,24
213,212,24
212,23,24
213,296,212
213,297,296
297,2190,296
2190,2189,296
2190,2239,2189
2239,2238,2189
2238,2237,2189
2238,2246,2237
2246,2245,2237
2246,2255,2245
2255,2254,2245
2255,2264,2254
2264,2263,2254
2264,2273,2263
2273,2272,2263
2273,2282,2272
2282,2281,2272
2282,219,2281
2282,220,219
220,229,219
229,228,219
220,230,229
230,237,229
230,238,237
238,244,237
238,245,244
245,252,244
245,253,252
253,260,252
260,259,252
260,266,259
260,267,266
267,274,266
274,273,266
274,280,273
274,281,280
281,289,280
289,288,280
289,2104,288
289,2105,2104
2105,2112,2104
2112,2111,2104
2112,2120,2111
2120,2119,2111
2120,2127,2119
2127,2126,2119
2126,2118,2119
2127,2134,2126
2134,2133,2126
2134,2143,2133
2143,2142,2133
2143,2151,2142
2143,2152,2151
