PointID1,PointID2,PointID3
226,237,240
2263,2265,2273
2297,2304,2298
2360,2367,2361
226,225,237
225,236,237
236,249,237
249,252,237
252,240,237
252,253,240
253,241,240
241,228,240
228,226,240
228,2369,226
2369,2367,226
2369,2361,2367
228,2370,2369
228,229,2370
229,2371,2370
229,230,2371
230,231,2371
231,2372,2371
2372,2362,2371
2372,2363,2362
2363,2351,2362
2351,2350,2362
2351,2341,2350
2341,2340,2350
2341,2331,2340
2331,2330,2340
2331,2317,2330
2317,2316,2330
2316,2315,2330
2315,2329,2330
2315,2314,2329
2314,2328,2329
2314,2311,2328
2311,2327,2328
2327,2339,2328
2327,2336,2339
2336,2349,2339
2336,2346,2349
2346,2360,2349
2360,2361,2349
2346,2356,2360
2356,2366,2360
2366,2367,2360
2356,2355,2366
2355,2386,2366
2386,2387,2366
2387,225,2366
2387,2388,225
2388,236,225
2388,248,236
248,249,236
248,260,249
260,261,249
261,252,249
261,263,252
263,253,252
263,264,253
264,254,253
254,241,253
254,242,241
242,229,241
229,228,241
242,230,229
242,243,230
243,231,230
243,244,231
244,232,231
232,2372,231
232,2373,2372
2373,2363,2372
2373,2364,2363
2364,2351,2363
2364,2352,2351
2352,2342,2351
2342,2341,2351
2342,2333,2341
2333,2332,2341
2332,2331,2341
2332,2317,2331
2332,2318,2317
2318,2271,2317
2271,2270,2317
2270,2316,2317
2270,2269,2316
2269,2315,2316
2269,2268,2315
2268,2314,2315
2268,2267,2314
2267,2311,2314
2267,2266,2311
2266,2310,2311
2310,2327,2311
2310,2323,2327
2323,2336,2327
2323,2335,2336
2335,2346,2336
2335,2345,2346
2345,2356,2346
2345,2355,2356
2345,2384,2355
2384,2385,2355
2385,2386,2355
2345,2383,2384
2345,2335,2383
2335,2322,2383
2322,2382,2383
2322,2381,2382
2322,2310,2381
2310,2261,2381
2261,2380,2381
2261,2379,2380
2261,2138,2379
2138,212,2379
212,2378,2379
212,21,2378
21,2377,2378
212,213,21
213,22,21
213,25,22
213,217,25
217,26,25
217,218,26
218,219,26
219,27,26
219,28,27
219,220,28
220,29,28
220,221,29
221,222,29
222,210,29
222,211,210
222,223,211
223,224,211
223,2149,224
2149,2150,224
2150,2140,224
2140,214,224
2140,215,214
215,23,214
215,216,23
216,24,23
24,2412,23
24,2413,2412
24,216,2413
216,2142,2413
2142,2414,2413
2142,2415,2414
2142,2264,2415
2264,2312,2415
2312,2416,2415
2312,2326,2416
2326,2417,2416
2326,2418,2417
2326,2338,2418
2338,2419,2418
2338,2348,2419
2348,2420,2419
2348,2359,2420
2359,2421,2420
2359,2368,2421
2368,227,2421
227,2422,2421
227,239,2422
239,2423,2422
239,251,2423
251,2424,2423
251,262,2424
262,2425,2424
262,2426,2425
262,273,2426
273,285,2426
285,2427,2426
285,2428,2427
285,296,2428
296,2429,2428
296,2107,2429
2107,2118,2429
2118,2430,2429
2118,2129,2430
2129,2431,2430
2129,2153,2431
2153,2432,2431
2153,2164,2432
2164,2433,2432
2164,2434,2433
2164,2175,2434
2175,2187,2434
2187,2435,2434
2187,2200,2435
2200,2436,2435
2200,2213,2436
2213,2437,2436
2213,2438,2437
2213,2224,2438
2224,2439,2438
2224,2232,2439
2232,2440,2439
2232,2242,2440
2242,2259,2440
2259,2260,2440
2260,2441,2440
2260,2442,2441
2260,2282,2442
2282,2291,2442
2291,2443,2442
2291,2299,2443
2299,2444,2443
2299,2306,2444
2306,2445,2444
2299,2305,2306
2305,2309,2306
2299,2298,2305
2298,2304,2305
2299,2290,2298
2290,2297,2298
2290,2289,2297
2289,2296,2297
2296,2303,2297
2303,2304,2297
2303,2308,2304
2303,2307,2308
2303,2302,2307
2302,2301,2307
2302,2295,2301
2295,2294,2301
2294,2300,2301
2294,2293,2300
2293,2292,2300
2293,2285,2292
2285,2284,2292
2284,2283,2292
2284,2274,2283
2284,2275,2274
2275,2252,2274
2252,2251,2274
2252,2243,2251
2243,2241,2251
2241,2240,2251
2241,2231,2240
2231,2230,2240
2230,2404,2240
2404,2405,2240
2405,2406,2240
2230,2403,2404
2230,2222,2403
2222,2209,2403
2209,2402,2403
2209,2401,2402
2209,2196,2401
2196,2400,2401
2196,2184,2400
2184,2399,2400
2184,2173,2399
2173,2162,2399
2162,2398,2399
2162,2397,2398
2162,2151,2397
2151,2396,2397
2151,2127,2396
2127,2116,2396
2116,2395,2396
2116,2394,2395
2116,2105,2394
