x,y,z,cluster
-0.211593584,-3.159180023,0.29228203,2
-0.209299992,-3.245606315,0.53846624,2
-0.207959692,-3.091517907,0.086627946,2
-0.206294963,-3.168201913,0.330361451,2
-0.206170413,-3.142313865,0.273691778,2
-0.204895997,-3.123122058,0.198958862,2
-0.196680479,-3.15163927,0.330800924,2
-0.195749215,-3.20827932,0.500783947,2
-0.135798142,-3.118102359,0.240723074,2
-0.113617788,-3.162953214,0.374979208,2
-0.112811868,-3.131283359,0.280214917,2
-0.109605255,-3.060128232,0.072604263,2
-0.108772426,-3.098136405,0.185925606,2
-0.10513735,-3.150509427,0.337828868,2
-0.098056604,-3.203151855,0.49118563,2
-0.004453264,-3.036968829,0.001927484,2
-0.004214179,-2.919238489,0.00033078,1
-0.000303251,-2.891492558,0.000287323,1
0.001140606,-3.101219142,0.192899993,2
0.000594664,-3.066083894,0.021474673,1
0.000980408,-2.950121875,0.000836353,1
0.003996163,-3.120066397,0.250529041,2
0.004780383,-3.153590763,0.346267533,2
0.0101243,-3.18643366,0.443455334,2
0.030991817,-3.194970275,0.46439367,2
0.033594328,-3.167574366,0.38720648,2
0.11499403,-2.99719229,-0.012173449,1
0.116881162,-3.105104887,0.200343544,2
0.118089245,-3.15763008,0.355673146,2
0.117105219,-3.051998579,0.045986056,2
0.11968329,-3.12464122,0.258462841,2
0.121366459,-3.210316309,0.511972158,2
0.120532378,-3.117462029,0.238920155,2
0.125506874,-3.150619295,0.336598352,2
0.133099196,-2.90337468,-0.012824053,1
0.169258657,-3.153705577,0.339878802,2
0.231082865,-3.126454675,0.265918067,2
0.232983713,-3.188701568,0.44322818,2
0.237594076,-3.162156671,0.365058441,2
0.23744189,-3.094531751,0.168693604,2
0.240934155,-3.154133017,0.345507703,2
0.242274111,-3.045225458,0.03239238,2
0.274026328,-3.124548823,0.327790103,2
0.27751679,-3.012613818,0.072281879,2
0.279973142,-2.871827542,0.089695386,1
0.364257346,-3.04891307,0.037862686,2
0.557331791,-3.027092929,-0.01356455,2
0.558465402,-3.047960504,-0.013056927,2
0.592887645,-2.984515985,-0.012750509,1
0.621740596,-2.961151865,-0.011892263,1
0.627615159,-3.098064723,-0.009805961,1
0.686153074,-2.926034379,-0.009697755,1
0.69636796,-2.897399429,-0.009762499,1
1.093000368,-3.197400614,0.525286914,2
1.155349444,-3.050514637,-0.010581167,2
1.157908389,-3.039979743,-0.010601126,2
1.204200798,-2.975387061,-0.009357973,1
1.241209626,-2.918724101,-0.008563256,1
1.26819295,-2.870625691,-0.008215585,1
1.485873416,-3.199536783,0.510352379,2
1.487530764,-3.165855496,0.416071054,2
1.488396867,-3.153501483,0.382851408,2
1.490414983,-3.144681111,0.363302677,2
1.491322598,-3.12714322,0.323729956,2
1.496523198,-3.135529901,0.314933814,2
1.496913797,-3.159711524,0.38283089,2
1.497285806,-3.189067147,0.463916756,2
1.503096672,-3.174369727,0.402358343,2
1.512110479,-3.209222918,0.505395563,2
1.535071372,-3.197907422,0.475524052,2
1.545071223,-3.223525103,0.551204616,2
1.555914353,-3.221959631,0.546285081,2
1.575377705,-3.21106213,0.515935987,2
1.581884034,-3.179758854,0.481212124,2
2.306013671,-3.160861213,0.43296098,2
2.313673854,-3.123903746,0.293246485,2
2.317100564,-3.139016958,0.328896475,2
2.320107114,-3.164801657,0.387509783,2
2.321283289,-3.172826114,0.411440911,2
2.32438849,-3.192738046,0.464675408,2
2.328285542,-3.185484291,0.421197517,2
2.329982818,-3.156958271,0.35817199,2
2.337134779,-3.173393655,0.400159539,2
2.346058112,-3.209619207,0.508570765,2
2.353626623,-3.200548127,0.486075292,2
2.356797862,-3.135243903,0.302885083,2
2.364755107,-3.180028112,0.42839799,2
2.365872575,-3.213917577,0.529507777,2
2.369334557,-3.179338989,0.435707589,2
2.369880276,-3.161444322,0.38246267,2
2.373382648,-3.210705232,0.524597142,2
2.376354253,-3.197158583,0.470373127,2
2.380820087,-3.148169439,0.335537276,2
2.386001092,-3.168909027,0.40878615,2
2.404771578,-3.147620122,0.339365614,2
2.406529586,-3.206757024,0.5039777,2
