PointID1,PointID2,PointID3
11,1305,1306
1306,111,11
111,12,11
111,112,12
112,13,12
112,113,13
113,14,13
113,114,14
114,15,14
114,115,15
115,16,15
115,116,16
116,17,16
116,117,17
117,18,17
117,118,18
118,19,18
118,119,19
119,110,19
118,1110,119
1110,1111,119
1110,1211,1111
1110,1210,1211
1210,1258,1211
1258,1259,1211
1258,1268,1259
1258,1267,1268
1267,1276,1268
1276,1277,1268
1276,1285,1277
1285,1286,1277
1285,1295,1286
1285,1294,1295
1294,1303,1295
1303,1304,1295
1303,128,1304
1303,127,128
127,137,128
127,136,137
136,145,137
145,146,137
145,153,146
153,154,146
153,162,154
153,161,162
161,169,162
169,170,162
169,177,170
177,178,170
177,185,178
185,186,178
185,194,186
185,193,194
193,1102,194
193,1101,1102
1101,1118,1102
1118,1119,1102
1118,1127,1119
1127,1128,1119
1127,1136,1128
1136,1137,1128
1136,1145,1137
1145,1146,1137
1145,1155,1146
1155,1156,1146
1155,1165,1156
1165,1166,1156
1165,1175,1166
1165,1174,1175
1174,1183,1175
1183,1184,1175
1183,1192,1184
1192,1193,1184
1192,1201,1193
1201,1202,1193
1201,1220,1202
1201,1219,1220
1219,1228,1220
1228,1229,1220
1228,1237,1229
1228,1236,1237
1236,1245,1237
1236,1244,1245
1236,1243,1244
1236,1235,1243
1235,1242,1243
1242,1250,1243
1242,1249,1250
1242,1241,1249
1241,1248,1249
1241,1240,1248
1240,1247,1248
1240,1239,1247
1239,1246,1247
1239,1238,1246
1239,1231,1238
1231,1230,1238
1230,1337,1238
1337,1338,1238
1230,1221,1337
1221,1336,1337
1221,1212,1336
1212,1335,1336
1212,1334,1335
1212,1194,1334
1194,1185,1334
1185,1333,1334
1185,1176,1333
1176,1332,1333
1176,1167,1332
1167,1331,1332
1167,1157,1331
1157,1330,1331
1157,1329,1330
1157,1147,1329
1147,1138,1329
1138,1328,1329
1138,1327,1328
1138,1129,1327
1129,1120,1327
1120,1326,1327
1120,1325,1326
1129,1130,1120
1130,1121,1120
1121,1112,1120
1121,1113,1112
1113,196,1112
196,195,1112
196,187,195
196,188,187
188,179,187
188,180,179
180,172,179
172,171,179
172,164,171
164,163,171
164,156,163
156,155,163
156,147,155
156,148,147
148,140,147
140,139,147
139,138,147
139,130,138
130,129,138
129,1317,138
1317,1318,138
129,1316,1317
129,1315,1316
129,120,1315
120,1296,1315
1296,1314,1315
1296,1287,1314
1287,1313,1314
1287,1312,1313
1287,1278,1312
1278,1269,1312
1269,1311,1312
1269,1260,1311
1260,1310,1311
1260,1309,1310
1260,1251,1309
1251,1203,1309
1203,1308,1309
1203,1103,1308
1103,1307,1308
1103,111,1307
111,1306,1307
1103,112,111
1103,1104,112
1104,113,112
1104,1105,113
1105,114,113
1105,1106,114
1106,115,114
1106,1107,115
1107,116,115
1107,1108,116
1108,117,116
1108,1109,117
1109,118,117
1109,1110,118
1109,1210,1110
1109,1209,1210
1209,1257,1210
1257,1258,1210
1257,1267,1258
1257,1266,1267
1266,1275,1267
1275,1276,1267
1275,1285,1276
1275,1284,1285
1284,1294,1285
1284,1293,1294
1293,1302,1294
1302,1303,1294
1302,127,1303
1302,126,127
126,135,127
135,136,127
135,144,136
144,145,136
144,152,145
152,153,145
152,161,153
152,160,161
160,168,161
168,169,161
168,176,169
176,177,169
176,184,177
184,185,177
184,192,185
192,193,185
192,1100,193
1100,1101,193
1100,1117,1101
1117,1118,1101
1117,1126,1118
1126,1127,1118
1126,1136,1127
1126,1135,1136
1135,1145,1136
1135,1144,1145
1144,1154,1145
1154,1155,1145
1154,1165,1155
1154,1164,1165
1164,1174,1165
1164,1173,1174
1173,1182,1174
1182,1183,1174
1182,1191,1183
1191,1192,1183
1191,1200,1192
1200,1201,1192
1200,1219,1201
1200,1218,1219
1218,1227,1219
1227,1228,1219
1227,1236,1228
1227,1235,1236
1227,1226,1235
1226,1234,1235
1234,1242,1235
1234,1241,1242
1234,1233,1241
1233,1240,1241
1233,1232,1240
1232,1239,1240
1232,1231,1239
1232,1223,1231
1223,1222,1231
1222,1230,1231
1222,1221,1230
1222,1213,1221
1213,1212,1221
1213,1194,1212
1213,1195,1194
1195,1186,1194
1186,1185,1194
1186,1176,1185
1186,1177,1176
1177,1168,1176
1168,1167,1176
1168,1158,1167
1158,1157,1167
1158,1148,1157
1148,1147,1157
1148,1138,1147
1148,1139,1138
1139,1129,1138
1139,1130,1129
1139,1140,1130
1140,1131,1130
1131,1121,1130
1131,1122,1121
1122,1113,1121
1122,1114,1113
1114,197,1113
197,196,1113
197,189,196
189,188,196
189,180,188
189,181,180
181,173,180
173,172,180
173,165,172
165,164,172
165,157,164
157,156,164
157,148,156
157,149,148
149,141,148
141,140,148
141,131,140
131,139,140
131,130,139
131,122,130
122,121,130
121,129,130
121,120,129
121,1296,120
121,1297,1296
1297,1288,1296
1288,1287,1296
1288,1278,1287
1288,1279,1278
1279,1270,1278
1270,1269,1278
1270,1260,1269
1270,1261,1260
1261,1251,1260
1261,1252,1251
1252,1204,1251
1204,1203,1251
1204,1103,1203
1204,1104,1103
1204,1205,1104
1205,1105,1104
1205,1206,1105
1206,1106,1105
1206,1207,1106
1207,1107,1106
1207,1208,1107
1208,1108,1107
1208,1109,1108
1208,1209,1109
1208,1256,1209
1256,1257,1209
1256,1266,1257
1256,1265,1266
1265,1275,1266
1265,1274,1275
1274,1284,1275
1274,1283,1284
1283,1293,1284
1283,1292,1293
1292,1301,1293
1301,1302,1293
1301,126,1302
1301,125,126
125,134,126
134,135,126
134,143,135
143,144,135
143,151,144
151,152,144
151,160,152
151,159,160
159,167,160
167,168,160
167,175,168
175,176,168
175,183,176
183,184,176
183,192,184
183,191,192
191,1100,192
191,199,1100
199,1116,1100
1116,1117,1100
1116,1125,1117
1125,1126,1117
1125,1135,1126
